level,isPromo,id,key,title,slug,link,picto,hasAlcohol,index,no_products
3,False,11717,11717,Farinha,farinha,/shelves/mercearia/arroz-massa-e-farinha/farinha/11717,,,80,40
3,False,11718,11718,Azeite,azeite,/shelves/mercearia/azeite-oleo-e-vinagre/azeite/11718,,,81,26
3,False,11719,11719,Óleo Alimentar,oleo-alimentar,/shelves/mercearia/azeite-oleo-e-vinagre/oleo-alimentar/11719,,,82,9
3,False,11720,11720,Vinagre,vinagre,/shelves/mercearia/azeite-oleo-e-vinagre/vinagre/11720,,,83,29
3,False,11721,11721,Molhos,molhos,/shelves/mercearia/molhos-temperos-e-sal/molhos/11721,,,84,40
3,False,11757,11757,Temperos,temperos,/shelves/mercearia/molhos-temperos-e-sal/temperos/11757,,,85,39
3,False,11722,11722,"Maionese, Ketchup e Mostarda",maionese-ketchup-e-mostarda,/shelves/mercearia/molhos-temperos-e-sal/maionese-ketchup-e-mostarda/11722,,,86,36
3,False,11723,11723,Especiarias e Ervas Aromáticas,especiarias-e-ervas-aromaticas,/shelves/mercearia/molhos-temperos-e-sal/especiarias-e-ervas-aromaticas/11723,,,87,40
3,False,11724,11724,Caldos,caldos,/shelves/mercearia/molhos-temperos-e-sal/caldos/11724,,,88,32
3,False,11725,11725,Sal,sal,/shelves/mercearia/molhos-temperos-e-sal/sal/11725,,,89,17
3,False,10242,10242,Feijão,feijao,/shelves/mercearia/vegetais-secos-e-sementes/feijao/10242,,,90,9
3,False,10243,10243,Grão,grao,/shelves/mercearia/vegetais-secos-e-sementes/grao/10243,,,91,1
3,False,11021,11021,Lentilhas,lentilhas,/shelves/mercearia/vegetais-secos-e-sementes/lentilhas/11021,,,92,1
3,False,11817,11817,Sementes,sementes,/shelves/mercearia/vegetais-secos-e-sementes/sementes/11817,,,93,8
3,False,10273,10273,Café em Cápsulas,cafe-em-capsulas,/shelves/mercearia/cafe-cha-e-achocolatados/cafe-em-capsulas/10273,,,94,40
3,False,11058,11058,Café Torrado,cafe-torrado,/shelves/mercearia/cafe-cha-e-achocolatados/cafe-torrado/11058,,,95,32
3,False,10271,10271,Café Solúvel,cafe-soluvel,/shelves/mercearia/cafe-cha-e-achocolatados/cafe-soluvel/10271,,,96,24
3,False,11057,11057,Bebidas de Cereais,bebidas-de-cereais,/shelves/mercearia/cafe-cha-e-achocolatados/bebidas-de-cereais/11057,,,97,17
3,False,11736,11736,Chás e Infusões,chas-e-infusoes,/shelves/mercearia/cafe-cha-e-achocolatados/chas-e-infusoes/11736,,,98,40
