identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,images_5,avantages_dateFin,avantages_categorie,nro_paginas,page,images_6
52904,8445290926029,84.0,Nestlé,"Tablete de Chocolate Branco e recheio de Bolacha Filipinos, emb. 84 gr",,1.99,23.69,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/289C907A40BF00E8E421FBF919CB9F70.jpg,,,,,,2026-03-11T23:59:59Z,PROSPECTUS,16,6,
52920,0000059095842,50.0,Dove,"Desodorizante Roll On Advanced Original, emb. 50 ml",,2.99,59.8,50,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2183AEDEDCEDF4209F45853BE608CFF9.jpg,,,,,,2026-03-11T23:59:59Z,PROSPECTUS,16,6,
52941,8720181386510,2700.0,Skip,"Detergente líquido máquina de roupa sabão natural, 60 doses",,7.99,2.96,2700,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E86C320C5CE9CDD2DA45593DF7CE710E.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F78D7BA1CEEC1BA7836B80E309E4D243.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F78D7BA1CEEC1BA7836B80E309E4D243.jpg,,,,2026-03-18T23:59:59Z,PROSPECTUS,16,6,
53007,5603722520105,1000.0,Milhafre,"Leite De Pastagem Magro, 1l",,0.89,0.89,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/299C37D166CA38EDBA2E0A4C61421ACE.jpg,,,,,,2026-03-11T23:59:59Z,PROSPECTUS,16,6,
53229,8445290832917,190.0,Nestlé,"Refeição para Bebé Arroz e Frango +6M, emb. 190 gr",,1.94,10.21,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A86A2FFA11A081C4BF9A01BDE75A344F.jpg,,,,,,2026-03-11T23:59:59Z,PROSPECTUS,16,6,
53344,3665468500973,750.0,Harpic,"Gel Sanitário Anticalcário, 750ml",,1.99,2.65,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/962E310CD2BDB96B6F0D962949C9D00A.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7DB98AB086C29F9305C325CE18FE2677.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7DB98AB086C29F9305C325CE18FE2677.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7DB98AB086C29F9305C325CE18FE2677.jpg,,,2026-03-18T23:59:59Z,PROSPECTUS,16,6,
53349,5000204314595,250.0,Pronto,"Limpa Móveis, 250ml",,3.39,13.56,250,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B67A395061B35EF34EAA1625DF9B6EA1.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1D217222CE95C7E20C669A2882D0AEE6.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1D217222CE95C7E20C669A2882D0AEE6.jpg,,,,2026-03-18T23:59:59Z,PROSPECTUS,16,6,
53600,3574669907880,300.0,Johnson's Baby,Champô Bebé,Embalagem de 300ml,2.99,9.97,300,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9429EF15B0619F68FBB8D6F8825DAAEF.jpg,,,,,,2026-03-11T23:59:59Z,PROSPECTUS,16,6,
53668,5054563118226,75.0,Parodontax,"Pasta de Dentes Gengivas, Sensibilidade e Hálito",Embalagem de 75ml,5.19,69.2,75,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/08C393D2F8A3292371AB4D98646EF0EE.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1CFF3A375559CAD3DF044A8004103560.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1CFF3A375559CAD3DF044A8004103560.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1CFF3A375559CAD3DF044A8004103560.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1CFF3A375559CAD3DF044A8004103560.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1CFF3A375559CAD3DF044A8004103560.jpg,2026-03-11T23:59:59Z,PROSPECTUS,16,6,
53758,8435495833833,4050.0,Gama,Detergente Máquina Roupa Líquido Universal,Embalagem de 90 Doses,9.99,2.47,4050,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0BCCDF12CE017C6722C6965D4E03883F.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CD6C53630E31CBABE0C055A486FBD5A3.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CD6C53630E31CBABE0C055A486FBD5A3.jpg,,,,2026-03-18T23:59:59Z,PROSPECTUS,16,6,
