identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,avantages_dateFin,avantages_categorie,nro_paginas,page,images_3
1458,5601286220783,500.0,Milaneza,Massa de cotovelos grossos,Embalagem de 500g,1.09,2.18,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3227F59B4850D93351548A67BD46CA40.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
1466,5601286235770,250.0,Milaneza,Massa cuscus,Embalagem de 250g,0.63,2.52,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C88D2492C00ABAD0495ACF6CE8960CC4.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
1476,5601286290786,500.0,Milaneza,Massa de laços,Embalagem de 500g,1.25,2.5,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D687B9FD61EA56CF807EB6EB67FC5ABA.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
18351,8410320029971,80.0,Campofrio,Salsichão fat,Embalagem de 80g,1.59,19.88,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/522F54407A09BACA8592684E0563A486.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
18426,3600541887817,400.0,Ultra Suave,Champô Delicias de Aveia,Embalagem de 400 ml,3.79,9.48,400,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6E178A060EBA624F1168DFA6C596E4DF.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
18596,8410500016029,400.0,Danonino Danone,"Iogurte líquido danonino morango/banana,  4 x 100 g",,1.99,4.98,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/418CA3EE44828DD39BFD6E2687E787F2.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
2409,5608543000157,10.0,Tetley,Infusão de camomila,Embalagem de 10g,0.89,89.0,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C995769A7E3ACBF1E8869F2AEDA95DF9.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
31326,5601286260437,500.0,Milaneza,"Macarrão integral com aveia, 500g",,1.31,2.62,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/687469F1412D2299A6CE181241DB8128.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
1164,5601089080621,20.0,Boca Doce,Pudim de chocolate,Embalagem de 20g,0.47,23.5,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B89ECCAB610493D298FF226A04F99E93.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
1415,5601252106653,750.0,Gallo,Azeite virgem extra clássico,Garrafa de 750 ml,8.49,11.32,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F2C4BC4634F83729E0730377FAB3AF0A.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
19094,4084500330955,1500.0,Fairy,"Detergente líquido, manual loiça, original, 1,5 l",,6.19,4.13,1500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/239DD1C8A0266CF207624C4D2BE653E1.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
2407,5608543000133,18.0,Tetley,Chá verde,Embalagem de 20g,0.95,52.78,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8E02DD9BA1324B098CBEC62350029218.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
29591,3387390339505,375.0,Nestlé,Cereais golden grahams,Embalagem de 380g,2.99,7.97,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B90CC2EAB95EE928CD16134EC001D097.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
38418,5411188125808,400.0,Alpro,"Yofu soja e manga sem açúcar adicionado,  400g",,2.39,5.98,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/885BBE235F65985068DF78EED08A47BE.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
40596,5601151974018,1750.0,Pepsi,Refrigerante com gás regular,Garrafa de 1.75 l,1.55,0.89,1750,L,€/L,,1000 Artigos,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F52267090DF1996DA646836F5B1D9EDD.jpg,,,2024-09-06T23:59:59.999999999+01:00,PROSPECTUS,12,4,
46652,3083681137996,600.0,Bonduelle,Lentilhas,Embalagem de 600g,2.59,4.32,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6448716CECF38B7F7E165BDCA6CC72E5.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
1196,5601119942608,200.0,Nobre,Salsichas de aves,Lata de 200 g,1.39,6.95,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E7AAE34DF3D6C2B149A624A478B3E3DF.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
13094,2893070000000,150.0,Peixaria,Carapau Médio Fresco,1 un = 150 gr (aprox.),0.52,3.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5561FF39144D34B65C5FB553D6B1F100.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
1420,5601252107131,250.0,Gallo,Vinagre balsâmico modena,Garrafa de 250 ml,1.59,6.36,250,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CFFAABA356A1FEBBDE1686B6D03B7362.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
