identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,avantages_dateFin,avantages_categorie,images_0,images_1,images_2,images_3,pictogrammes_libelleCategorie,nro_paginas,page,pictogrammes_0,images_4,images_5
1463,5601286232779,250.0,Milaneza,Massa pevide,Embalagem de 250g,0.59,2.36,0,kg,€/Kg,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EBAFF1FEDF33318543096DA417AD4777.jpg,,,,,13,1,,,
1464,5601286233776,250.0,Milaneza,Massa de bagos,Embalagem de 250g,0.59,2.36,0,kg,€/Kg,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/94A5C2AC0EA7E97B0F5832D0BD95AE7F.jpg,,,,,13,1,,,
1465,5601286234773,250.0,Milaneza,Massa de letras,Embalagem de 250g,0.59,2.36,0,kg,€/Kg,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B041072B3650057DB6CDC9523E22E29B.jpg,,,,,13,1,,,
1466,5601286235770,250.0,Milaneza,Massa cuscus,Embalagem de 250g,0.59,2.36,0,kg,€/Kg,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C88D2492C00ABAD0495ACF6CE8960CC4.jpg,,,,,13,1,,,
1504,5601383014445,400.0,Izidoro,"Salsichas bockwurst em frasco, 8 unidades",Embalagem de 400g,3.95,9.88,0,kg,€/Kg,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/94D45C8DD779266214B9AD05E3765642.jpg,,,,,13,1,,,
1505,5601383014506,120.0,Izidoro,Salsichas Frankfurt em lata,Embalagem de 120g,0.99,8.25,0,kg,€/Kg,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8577674F64B16918632AA37BE8A01B7E.jpg,,,,,13,1,,,
1506,5601383014513,200.0,Izidoro,8 salsichas frankfurt,Embalagem de 200g,1.29,6.45,0,kg,€/Kg,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4F422CE7940A68A49F23AC8BC8304DBE.jpg,,,,,13,1,,,
1507,5601383014537,250.0,Izidoro,Salsichas Frankfurt em lata,Embalagem de 250g,1.69,6.76,0,kg,€/Kg,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2F007D77C245888A3F3F0F69D08EF71D.jpg,,,,,13,1,,,
1604,5601560111196,350.0,Diatosta,Mini tostas de trigo,Embalagem de 350 g,2.19,6.26,0,kg,€/Kg,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E51BEDC3B21AC22814E793489153A886.jpg,,,,,13,1,,,
1677,5602711001311,1000.0,Rar,Açúcar granulado embalado em papel,Embalagem de 1 kg,1.59,1.59,0,kg,€/Kg,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F8294E745C95C50AD875621A802EA691.jpg,,,,1000 Artigos,13,1,,,
1693,5603344681017,40.0,General,Filete de anchovas estendidas,Embalagem de 40g,1.85,46.25,0,kg,€/Kg,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/96A841288ED8A7D04158591EC80D9676.jpg,,,,,13,1,,,
