identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,images_5,images_6,images_7,images_8,avantages_dateFin,avantages_categorie,nro_paginas,page
54363,8410104915339,,Finish,"Detergente Loiça Máquina Ultimate Plus Regular, 36 Pastilhas",,10.99,10.99,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A56B6478EF1388F9146C9DF10F12FD1A.jpg,,,,,,,,,2026-01-21T23:59:59Z,PROSPECTUS,14,14
54386,8410436466714,,Xtra,"Detergente Máquina Roupa Gel Cores, 100D",,10.99,10.99,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BAFF037115A2E15FE3D28DC820552E0B.jpg,,,,,,,,,2026-01-21T23:59:59Z,PROSPECTUS,14,14
54414,8710908737329,250.0,Vaseline,"Creme corporal manteiga de cacau, 250ml",,4.49,17.96,250,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DDBB575EFC329F81E42E762529EB3552.jpg,,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,14
54437,3600542567367,115.0,Garnier,"Sérum Capilar Reparador Ultra Suave Tesouros De Mel, 115ml",,5.59,48.61,115,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AE72D0E2BE6479458868B952CAA34FA4.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AB2D88702525226F61CE1BEBB168B32C.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AB2D88702525226F61CE1BEBB168B32C.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AB2D88702525226F61CE1BEBB168B32C.jpg,,,,,,2026-01-21T23:59:59Z,PROSPECTUS,14,14
54451,0022796976116,385.0,Ogx,"Champô Renewing Óleo De Argão De Marrocos, 385ml",,7.19,18.68,385,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C072BEC44B2E650A4748F9C2A686FF7A.jpg,,,,,,,,,2026-01-21T23:59:59Z,PROSPECTUS,14,14
54452,0022796976017,385.0,Ogx,"Champô Ever Straightening Queratina Brasileira, 385ml",,7.19,18.68,385,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BE57A0170A71542FCA5DFF5E7C0E0640.jpg,,,,,,,,,2026-01-21T23:59:59Z,PROSPECTUS,14,14
54453,0022796976123,385.0,Ogx,"Condicionador Renewing Óleo De Argão De Marrocos, 385ml",,7.19,18.68,385,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FB9BAE1F6162BEE83ACDF11FA500EF71.jpg,,,,,,,,,2026-01-21T23:59:59Z,PROSPECTUS,14,14
54454,0022796976024,385.0,Ogx,"Condicionador Ever Straightening Queratina Brasileira, 385ml",,7.19,18.68,385,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/88539B21E89F313A272582887D1D95E4.jpg,,,,,,,,,2026-01-21T23:59:59Z,PROSPECTUS,14,14
54462,3574669908450,750.0,Johnson's Baby,"Gel De Banho Bolhas Espuma Para Crianças, 750ml",,5.79,7.72,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8FB59EFC80C6F2EAA4F3D9D32260DD6B.jpg,,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,14
54463,3574669908665,750.0,Johnson's Baby,"Gel De Banho Suave Bons Sonhos, 750ml",,5.79,7.72,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EC1057A655C95AA68E47146291760C76.jpg,,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,14
