identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,avantages_dateFin,avantages_categorie,nro_paginas,page
48075,5604260320868,,PorSi,Penso Higiénico Ultrafinos Abas Noite,10 unidades,1.19,1.19,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/12ADA0D268721D24041379800219E3C0.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
49225,5604260322657,90.0,PorSi,Saqueta puré de fruta,Embalagem de 90g,0.64,7.11,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F26EB3AA594068D55AC2A50A60DEDC46.jpg,,,2025-02-05T23:59:59.999999999Z,PROSPECTUS,13,1
49359,5601146700066,6000.0,Sagres,"Cerveja com álcool, pack 24 x 0.25 l",,11.49,1.92,6000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/67C6D1253BB0D82F02E1633DF741EA25.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B2E3D57423A20C8E7B4C1173F1457C2E.jpg,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
49554,5604260323661,,PorSi,Toalhitas Bebé Recarga,Embalagem de 4 x 72 unidades,3.99,3.99,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A55A5882013405A1E736BD7B20EAB60C.jpg,,,2025-02-05T23:59:59.999999999Z,PROSPECTUS,13,1
50405,8445290489173,900.0,Cerelac,"Papa Infantil 12 meses, 900g",,5.48,6.09,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/79C2E535CBAB06EFF8E7EE2B8A2191BC.jpg,,,2025-02-05T23:59:59.999999999Z,PROSPECTUS,13,1
508,3045140105502,100.0,Milka,"Tablete chocolate de leite, embalagem de 100g",,1.59,15.9,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5B50968DF2918F49B7C2D4CE2A6F28ED.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
5096,5601050026429,300.0,Danonino Danone,"Queijinho danonino petitdino de morango/banana, embalagem de 6 x 50g",,1.99,6.63,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FA8D1A9125B498992C62B9745CC5DD3D.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
5439,5601314228248,750.0,Vitalis,"Água mineral sem gás sport, garrafa de 750 ml",,0.53,0.71,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/010F08729D04976DF26AE7ABDA2D160B.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
8399,5601050033809,620.0,Danone,"Iogurte activia líquido morango, embalagem de 4 x 155 g",,1.99,3.21,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D308B1FB4C89B3E5388CD017CB0E1529.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
8800,5601244201922,200.0,Terra Nostra,"Queijo em fatias redução de gordura, embalagem de 200g",,2.35,11.75,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6B2399E90B535FA164E40698DA708319.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
9311,5603722502064,250.0,Mimosa,"Manteiga fácil de barrar, embalagem de 250g",,2.09,8.36,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FEF75CFD36A5CE8709DF5D4930F11917.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A8C47E9F1F12DFE2439D3530C38E2D87.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2EE410FD3A0147BBB442FA96902FFF46.jpg,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
959,5601019012418,1000.0,Guloso,Polpa de Tomate,Embalagem de 1 kg,1.79,1.79,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3946132CDF77B4B5ABC4B3B587DC5572.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
9724,5604260272532,500.0,PorSi,"Iogurte sabor a morango,  4 x 125 g",,0.74,1.48,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/912FA37FF8F13435726C70A7B4577F9A.jpg,,,2025-02-05T23:59:59.999999999Z,PROSPECTUS,13,1
9989,8000430133035,125.0,Galbani,"Queijo mozzarella fresca, embalagem de 125 g",,1.69,13.52,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2D2F42EC9092F570E0A5C16679F885D7.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
10153,8410199002402,150.0,LayS,"Batata frita forno originais, embalagem de 150g",,1.49,9.93,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/86C3E77514816B61352453CDEA14189F.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
11688,5601244202318,200.0,Terra Nostra,"Queijo flamengo em fatias, embalagem de 200g",,2.25,11.25,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3C8EE0938E0D052FB03D54FC94FFA0EF.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
