identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,images_0,images_1,pictogrammes_dateFin,pictogrammes_categorie,pictogrammes_valeur,pictogrammes_type,pictogrammes_loyaltyCardRewardType,pictogrammes_dateDebut,pictogrammes_maxDeclenchement,pictogrammes_remise,nro_paginas,page
47244,8005125673131,,Clementoni,"Jogo ""Quem sou eu?""",1 unidade,14.99,14.99,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/729B6A4AD8648A7B4A20C0EAEDBD8ACB.jpg,,2024-12-08T23:59:59.999999999Z,AC,50.0,PCT,STANDARD,2024-12-04T00:00:00Z,99.0,7.495,2,1
47320,5600309466269,,Olivo,Creative pad,1 unidade,12.99,12.99,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6157289749735BE552DA985385FD42D2.jpg,,2024-12-08T23:59:59.999999999Z,AC,50.0,PCT,STANDARD,2024-12-04T00:00:00Z,99.0,6.495,2,1
47325,5010993484096,,Mitama,Jenga,1 unidade,19.99,19.99,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F76BFB3EE2002E58E72137BCF89D5686.jpg,,2024-12-08T23:59:59.999999999Z,AC,50.0,PCT,STANDARD,2024-12-04T00:00:00Z,99.0,9.995,2,1
47376,5201429021248,,Barbie,Toucador grande,1 unidade,39.99,39.99,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8A752E52BE66C6049C9B9B16E7622DFF.jpg,,2024-12-08T23:59:59.999999999Z,AC,50.0,PCT,STANDARD,2024-12-04T00:00:00Z,99.0,19.995,2,1
47380,5201429096925,,Hot Wheels,Bancada de ferramentas,1 embalagem,39.99,39.99,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1AC93E0262EA8D024A8CF2F011E15484.jpg,,2024-12-08T23:59:59.999999999Z,AC,50.0,PCT,STANDARD,2024-12-04T00:00:00Z,99.0,19.995,2,1
47402,5010993812851,,Hasbro,Spider-man,,14.99,14.99,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E323CCC31BF6F821A2172E96C7EE1C9C.jpg,,2024-12-08T23:59:59.999999999Z,AC,50.0,PCT,STANDARD,2024-12-04T00:00:00Z,99.0,7.495,2,1
47423,5201429021019,,Barbie,Mega cozinha,1 conjunto,39.99,39.99,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1921F3ED92474A5912FAE8C7DEAB1E47.jpg,,2024-12-08T23:59:59.999999999Z,AC,50.0,PCT,STANDARD,2024-12-04T00:00:00Z,99.0,19.995,2,1
4792,5010106113127,700.0,BallantineS,"Whisky, garrafa de 700 ml",,12.19,17.41,700,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7BF4EA6F94A85CF9DD6ADDC4A98A4509.jpg,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,2,1
49006,5010993791835,,Play-Doh,Dentista engraçado,1 unidade,19.99,19.99,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3BA9D4715CC94748C88991AED690C15B.jpg,,2024-12-08T23:59:59.999999999Z,AC,50.0,PCT,STANDARD,2024-12-04T00:00:00Z,99.0,9.995,2,1
50112,5601849023653,,Vtech Baby,O meu primeiro tablet,1 unidade,31.99,31.99,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/46A16DA9F140AE7DD8B3EFA433F32FB8.jpg,,2024-12-08T23:59:59.999999999Z,AC,50.0,PCT,STANDARD,2024-12-04T00:00:00Z,99.0,15.995,2,1
