identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,images_0,images_1,images_2,pictogrammes_libelleCategorie,avantages_dateFin,avantages_categorie,nro_paginas,page,images_3,pictogrammes_0,pictogrammes_dateFin,pictogrammes_categorie,pictogrammes_valeur,pictogrammes_type,pictogrammes_loyaltyCardRewardType,pictogrammes_dateDebut,pictogrammes_maxDeclenchement,pictogrammes_remise
49239,3600542226301,150.0,Ambre Solaire,Spray Bruma Autobronzeadora,Embalagem de 150 ml,8.39,55.93,150,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4C276A7D7F474C88880C0A8FD6FEB717.jpg,,,,2024-09-04T23:59:59.999999999+01:00,PROSPECTUS,12,7,,,,,,,,,,
49270,7613287494306,340.0,Felix,Comida Húmida Gato Fantastic Gelatina,Embalagem de 4 x 85 g,2.24,6.59,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7F51F0299E91FF01FC052402CBDC333D.jpg,,,,2024-09-04T23:59:59.999999999+01:00,PROSPECTUS,12,7,,,,,,,,,,
49271,7613287494320,340.0,Felix,Comida Húmida Gato Fantastic Legumes,Embalagem de 4 x 85 g,2.24,6.59,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A07CDBBB5F3D21C101D01735CF6A6CF5.jpg,,,,2024-09-04T23:59:59.999999999+01:00,PROSPECTUS,12,7,,,,,,,,,,
49556,5601217136541,5715.0,Xau,Detergente líquido máquina roupa sabão natural,127 doses,13.99,2.45,5715,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EFA51F6E377F52AB025B9C1E70ECB1BC.jpg,,,,2024-09-04T23:59:59.999999999+01:00,PROSPECTUS,12,7,,,,,,,,,,
49588,4005900911568,270.0,Nivea Sun,Spray Solar para Crianças FP50+,Embalagem de 270 ml,14.09,52.19,270,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/05EFBCFD0E95BA2F83153A38E15A390C.jpg,,,,2024-09-04T23:59:59.999999999+01:00,PROSPECTUS,12,7,,,,,,,,,,
49696,5604260279753,,PorSi,Bloco Notas A5 Pautado,100 folhas,1.29,1.29,0,,€/Unidade,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/35BE51E54885C62EB8E8426674E95B04.jpg,,,,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,12,7,,,,,,,,,,
4975,5601007001332,750.0,Esteva,Vinho doc douro tinto,Garrafa de 0.75 l,4.89,6.52,750,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/20E09DBFAC62387C0F0F38770E2BC747.jpg,,,1000 Artigos,2024-09-06T23:59:59.999999999+01:00,PROSPECTUS,12,7,,,,,,,,,,
49774,8445290218018,90.0,Gerber,"Nutrição Infantil Bio Pera, Maçã e Banana, 90g",,0.89,9.89,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8FC52A9453BDA7385115562A41D390CF.jpg,,,Produtos Bio,2024-09-04T23:59:59.999999999+01:00,PROSPECTUS,12,7,,,,,,,,,,
49779,7613287805119,190.0,Gerber,"Refeição Bio Puré de Ervilhas com batata e frango, 190g",,1.99,10.47,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8115AF04DD1FE11036F6E66AF0A9E321.jpg,,,Produtos Bio,2024-09-04T23:59:59.999999999+01:00,PROSPECTUS,12,7,,,,,,,,,,
49896,4005900911599,270.0,Nivea Sun,Protetor Solar Spray Protect & Moisture SPF30,Embalagem de 270ml,11.99,44.41,270,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/32FE8D62AC3802164C76786F354B367F.jpg,,,,2024-09-04T23:59:59.999999999+01:00,PROSPECTUS,12,7,,,,,,,,,,
