identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,pictogrammes_dateFin,pictogrammes_categorie,pictogrammes_valeur,pictogrammes_type,pictogrammes_loyaltyCardRewardType,pictogrammes_dateDebut,pictogrammes_maxDeclenchement,pictogrammes_remise,nro_paginas,page
13216,2893201000000,250.0,PorSi,Perca à Posta,1 un = 250g (aprox.),2.5,9.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/934FDB901CE812CCE046B5BFBFCA0ECC.jpg,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
13966,2696019000000,450.0,Padaria,Pão Regional Rio Maior Inteiro,1 unidade= 450 g,1.09,2.42,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/868CC38F01B8F1FD056036A7F49504A8.jpg,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
15045,2892280000000,130.0,Fruta,Pera Rocha,1 un = 130 gr (aprox.),0.23,1.79,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/13A95EAD49FBD7525A80301784BFDD22.jpg,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
15359,5604260273317,600.0,PorSi,Néctar de manga,Pack 3 x 200 ml,1.0,1.67,600,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CB03714D6CC31A127821020EE8F1C331.jpg,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
15725,5604260273300,600.0,PorSi,Néctar de pera,Pack 3 x 200 ml,0.8,1.33,600,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/42A4AC67DF25A44A932E75287105383F.jpg,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
17402,8412600027233,700.0,Bimbo,Pão forma familiar normal,embalagem de 700 g,1.99,2.84,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BD26753EF23D0DF0FDC14FCDC181B902.jpg,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
21292,5604260263837,250.0,PorSi,Alho Seco,Embalagem: 250 g  ,1.39,5.56,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9CACD04AEB53BB065A4A6DA5A64A1473.jpg,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
35499,5601151973769,3500.0,Sumol,"Refrigerante com gás de laranja, 2 x 1.75 l",,2.98,0.85,3500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/15C97042A71F49C362C4C213EA28900F.jpg,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
36263,5601027973060,480.0,Bimbo,Pão de forma integral,Embalagem de 480 g,1.89,3.94,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/34F016B3F162809D8E0423F1C3245DFD.jpg,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
36711,5604260294862,200.0,PorSi,Queijo edam fatias,Embalagem de 200 g,1.69,8.45,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/46DECF3B546FE1C267F5C56013613756.jpg,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
