identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,images_0,images_1,images_2,pictogrammes_libelleCategorie,avantages_dateFin,avantages_categorie,nro_paginas,page,pictogrammes_0,images_3,images_4,images_5
5847,5604260130252,750.0,Selecção de Enófilos,"Vinho DOC Alentejo, Reserva, Tinto",Garrafa de 0.75 l,2.59,3.45,750,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3610F2773989220F7DF86C4EA15D20E6.jpg,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
5992,5604575000264,750.0,Cabriz,"Vinho branco dão, colheita selecionada",Garrafa de 0.75 l,3.89,5.19,750,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8F4BB0FC72CD3E79310E8F0BAE6BEE9A.jpg,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
6057,5608527000401,750.0,Dona Ermelinda,Vinho doc palmela tinto,Garrafa de 750 ml,3.99,5.32,750,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A42E08518C2D5C24CA9EADB32EC8646D.jpg,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
8436,5601050033762,620.0,Danone,"Iogurte activia líquido 0% frutos silvestres,  4 x 155 g",,1.99,3.21,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1898B39499E032B1AB748C6FC019A6DF.jpg,,,1000 Artigos,2024-09-25T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
8914,5601356013918,750.0,Porta da Ravessa,Vinho regional alentejano reserva tinto,Garrafa de 0.75 l,2.99,3.99,750,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5A0F16E858B5305FC120D1A2BF434A2F.jpg,,,1000 Artigos,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
9809,5608527000418,750.0,Dona Ermelinda,Vinho doc palmela branco,Garrafa de 750 ml,3.99,5.32,750,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2259C36579DB9596F3C8BA9119D1E5F8.jpg,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
9936,7622300324216,160.0,Triunfo,Bolachas digestive go,Embalagem de 160g,1.49,9.31,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/14EC3DAF1DC7914C115F02B63BBB0B8D.jpg,,,,2024-09-25T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
10057,8410036800512,750.0,Freixenet,Espumante cava meio seco reserva,Garrafa de 750 ml,6.99,9.32,750,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/595A72B091587557F63E6DF8F5C0E8F8.jpg,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
10892,3179730011147,750.0,Perrier,Água com gás natural,Embalagem de 750ml ,1.79,2.39,750,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E8EC5A068843445E6B3B114535E6B909.jpg,,,,2024-09-25T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
11532,5601077171140,750.0,Velhotes,"Vinho Porto 10 anos, garrafa de 0.75 l",,9.99,13.32,750,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F4F8986D9DF6477A6B433BC0526269E4.jpg,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
11633,5601174190006,750.0,Periquita,Vinho branco península de setúbal,Garrafa de 0.75 l,3.69,4.92,750,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D64EC933BC260C74B48D3E2DE672D420.jpg,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
11714,5601286402301,120.0,Nacional,Bolachas mini alfa,Embalagem de 120g,1.04,8.67,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/51EAE1E8FB282C46C3D148FFEA696859.jpg,,,,2024-09-25T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
