identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,avantages_dateFin,avantages_categorie,nro_paginas,page,images_3,images_4,images_5
8400,5601050033779,620.0,Danone,"Iogurte activia líquido cereais,  4 x 155 g",,1.99,3.21,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3AC3707CF655B8CC61D2C80E4828D7C8.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
1117,5601066301404,500.0,Nacional,Linguini,Embalagem de 500g,0.94,1.88,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5543DBB1F6781E2C307E0B4DE4206633.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
12471,8435257040868,640.0,Nestlé,"Iogurte líquido yoggi morango/banana,  4 x 160 g",,1.99,3.11,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/93A52C02113750956F92B7DD59810765.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
1272,5601151060254,500.0,Compal,Tomate triturado,Embalagem de 500g,1.39,2.78,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8578E2260B46D071F7AECDA37452145B.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
15020,2892199000000,150.0,Fruta,Maçã Golden,1 un = 150 gr (aprox.),0.27,1.79,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AF46783081FB13FAA6C2471644DF937C.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
44264,5603722517136,200.0,Mimosa,"Nata cremosa sem lactose, 200 ml",,0.99,4.95,200,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/505AB5A758F0033F2C092C6776B8A3D2.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
8319,5601028017305,,Renova,Papel Higiénico Olé Branco 2 Folhas,38 Rolos + 10 Rolos Grátis,6.99,6.99,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/18B44B31A794DF5C40216850F86918EF.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
8391,5601049159992,1000.0,Mimosa,Leite especial cálcio + vitamina d magro,Garrafa de 1 l,0.89,0.89,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9A4AD44FB60B5A45579B826AAB547587.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
13837,2891004000000,250.0,Novilho,Bife da Alcatra,1 un = 250 gr (aprox.),3.25,12.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0DB4E73429948AD44AC689613310FABC.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
14056,2891280000000,800.0,Novilho,Bife do Acém,Vendido ao peso a partir de 800 g,7.98,9.98,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/552F67FF75CD62F25CC9EE25BCCA669C.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
14510,5411188116592,1000.0,Alpro,Bebida Vegetal Coco,Embalagem de 1L,1.99,1.99,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2A1628939CE92BFC72918A1FD003F491.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
15489,7613031884247,4000.0,Friskies,"Ração para gato adulto com vaca, frango",Embalagem de 4kg,10.79,2.7,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3758935B87F55535F41EEF08B41E8342.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
20988,5601260593605,67.0,Cigala,Noodles de Galinha Banzai,Embalagem de 70g,1.09,16.27,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F7AC63D0A0C791A61F74299B35A01A13.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
22395,8712100745614,412.0,Hellmann's,Mionese top down,Embalagem de 410g,3.14,7.62,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C642A36EEC291CE47645FCCBF50ED41C.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8441A970BF19CB238C08CCCD9712CAB2.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8441A970BF19CB238C08CCCD9712CAB2.jpg,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
2506,7613033269707,400.0,Friskies,Ração para gato adulto com atum e legumes selecionados,Embalagem de 400g,1.86,4.65,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/312085192EC38A0CD177D73C362AF824.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
25262,5000116112166,208.0,Capitão Iglo,10 nuggets de frango,Embalagem de 210g,2.99,14.38,0,kg,€/Kg,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4CF12EA727EBC42ED8634368F0F21B4F.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
41783,5604260303014,100.0,PorSi,Alimento húmido para gato pato e coelho,Embalagem de 100g,0.39,3.9,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D72ECF1FB41AC14D938C261F4C55B98C.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
41874,8718951313316,75.0,Colgate,Pasta Dentífrica Cool Mint,75 ml,1.99,26.53,75,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/95E99633062C9804102696C315945CDF.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
53469,5601028019941,,Renova,Rolo Cozinha Máxima Absorção Extra XXL,Embalagem de 2 unidades,1.99,1.99,2,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CC4799D932DD202B86A18A616DE89926.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
8399,5601050033809,620.0,Danone,"Iogurte activia líquido morango,  4 x 155 g",,1.99,3.21,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D308B1FB4C89B3E5388CD017CB0E1529.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
10669,8714789703046,360.0,Palmolive,Sabonete sensitive,Embalagem de 4x90 g,3.59,9.97,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E1B6CB90823C0471DEECAE12A1EACB59.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
1438,5601260047108,1000.0,Saludães,Arroz agulha,Embalagem de 1kg,1.34,1.34,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A47E0478F621CD18819B801F7F6528A1.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
16493,8718951037939,500.0,Ajax,"Limpa vidros pistola, cristal, embalagem de 500 ml",,1.95,3.9,500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E563EF990460546D67BF949773E0A516.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
24411,8410436297752,1300.0,Sonasol,"Lava tudo rosas e jasmim, 1,3l",,2.09,1.61,1300,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/46E3798C4C5509E4EFB8DA2E52D80035.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
32306,8718951202979,500.0,Palmolive,Gel de banho naturals amêndoa e leite,500 ml,2.65,5.3,500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/679D3CFCC9969DD874FD147C2208C882.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
37948,5601217132697,500.0,Cillitbang,Spray limpeza casa de banho,Embalagem de 500 ml,2.49,4.98,500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/62E5A8E0A6D5CF81B7A29AA6D1070117.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
41582,5601050036626,440.0,Danone,"Iogurte grego café,  4 x 110 g",,1.99,4.52,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AA81C6F13D10195F1596F127A0BC3ACE.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
