identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,avantages_dateFin,avantages_categorie,nro_paginas,page,pictogrammes_dateFin,pictogrammes_categorie,pictogrammes_valeur,pictogrammes_type,pictogrammes_loyaltyCardRewardType,pictogrammes_dateDebut,pictogrammes_maxDeclenchement,pictogrammes_remise
10842,2895207000000,250.0,Santiago,Queijo 3 Igrejas Cura 2m Pimentão,Vendido ao peso a partir de 250 gr,3.0,11.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2F11F4EC63EB49EF2522FB61028743A0.jpg,,,,,2024-11-27T23:59:59.999999999Z,PROSPECTUS,9,1,,,,,,,,
1116,5601066301152,500.0,Nacional,"Massa de cotovelos, embalagem de 500g",,0.89,1.78,0,kg,€/Kg,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C87CE94729679E4B47574FECADC4484E.jpg,,,,,2024-11-27T23:59:59.999999999Z,PROSPECTUS,9,1,,,,,,,,
1120,5601066301718,500.0,Nacional,"Massa de espirais, embalagem de 500g",,0.89,1.78,0,kg,€/Kg,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/53CA28E35AF8AD40FCE8516799A2B51B.jpg,,,,,2024-11-27T23:59:59.999999999Z,PROSPECTUS,9,1,,,,,,,,
11960,5603722505300,250.0,Mimosa,"Manteiga magra, embalagem de 250g",,1.99,7.96,0,kg,€/Kg,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C74CBDA10A089507D586E060E46ABF03.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C2F91C79228A3ADF27E4AEC55908D66D.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8234260C017BAB3AE2C659FDE5BBED44.jpg,,,2024-11-27T23:59:59.999999999Z,PROSPECTUS,9,1,,,,,,,,
12543,8715035110106,150.0,Kikkoman,"Molho de soja com dispenser, de 150 ml",,2.75,18.33,150,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E8611ECF65ED107981620F2AF615D891.jpg,,,,,2024-11-27T23:59:59.999999999Z,PROSPECTUS,9,1,,,,,,,,
14036,2696009000000,55.0,Padaria,Carcaça de trigo,1 unidade= 55 g,0.13,2.36,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9BCC2A4A3A6FAADD68212B73951E6D8D.jpg,,,,,2024-11-27T23:59:59.999999999Z,PROSPECTUS,9,1,,,,,,,,
1414,5601252106639,750.0,Gallo,"Azeite virgem delicado, garrafa de 750 ml",,7.49,9.99,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EA9D73D4CD22667C67FAED0003FD80DC.jpg,,,,,2024-11-27T23:59:59.999999999Z,PROSPECTUS,9,1,,,,,,,,
17402,8412600027233,700.0,Bimbo,Pão forma familiar normal,embalagem de 700 g,1.99,2.84,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DE8CCFFBC376CC9F4596A72F8ABC4CE5.jpg,,,,,2024-11-27T23:59:59.999999999Z,PROSPECTUS,9,1,,,,,,,,
19022,5603722509742,800.0,Agros,"Leite com chocolate, embalagem de 4 x 200 ml",,1.49,1.86,800,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5E96016EA2C29977083D2986B4126E1A.jpg,,,,,2024-11-27T23:59:59.999999999Z,PROSPECTUS,9,1,,,,,,,,
23469,8410500020453,280.0,Danone,"Danonino para levar, polpa de morango, embalagem de 4 x 70 g",,2.14,7.64,0,kg,€/Kg,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BCB8B07B4A9632B9CA3C8436CD26979D.jpg,,,,,2024-11-27T23:59:59.999999999Z,PROSPECTUS,9,1,,,,,,,,
251,2696001000000,400.0,Padaria,Baguete,400 g,0.79,1.98,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/42C2E126B9E5B84C243F0668DEC3869F.jpg,,,,,2024-11-27T23:59:59.999999999Z,PROSPECTUS,9,1,,,,,,,,
32408,5601050034967,600.0,Danone,"Danacol aveia, embalagem de 6 x 100g",,2.99,4.98,0,kg,€/Kg,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D8B4CB4708653F3D4BB9B148DB6D8336.jpg,,,,,2024-11-27T23:59:59.999999999Z,PROSPECTUS,9,1,,,,,,,,
40762,2708171000000,500.0,PorSi,Peito peito de peru Programa Origens,Vendido ao peso,4.5,8.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0A62C4A780EB4CF2F225FCE0EFDC4EA0.jpg,,,,,2024-11-27T23:59:59.999999999Z,PROSPECTUS,9,1,,,,,,,,
40833,8718951333482,1250.0,Ajax,"Detergente líquido lava-tudo festa das flores, 1.25 litros",,2.24,1.79,1250,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4CD3F618711847C08973FB8F753BB8D1.jpg,,,,,2024-11-27T23:59:59.999999999Z,PROSPECTUS,9,1,,,,,,,,
44059,5601363012683,160.0,LayS,"Batata frita lisas originais, embalagem de 160g",,1.39,8.69,0,kg,€/Kg,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9405F85D185C02A8CF73F6D35DB06623.jpg,,,,,2024-11-27T23:59:59.999999999Z,PROSPECTUS,9,1,,,,,,,,
45032,5054563098795,75.0,Sensodyne,Pasta dentífrica repair&protect,Embalagem de 75 ml,3.96,52.8,75,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D0FCC599F3C9B33F793E38C5A18E782C.jpg,,,,,2024-11-27T23:59:59.999999999Z,PROSPECTUS,9,1,,,,,,,,
