identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,avantages_dateFin,avantages_categorie,images_0,images_1,images_2,nro_paginas,page,images_3,images_4,images_5
1301,5601151660751,410.0,Compal,Feijão encarnado,Lata de 410ml,1.09,2.66,410,L,€/L,,,2024-07-17T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DCE7303C6541213F906341A870E69C47.jpg,,,17,5,,,
19094,4084500330955,1500.0,Fairy,"Detergente líquido, manual loiça, original, 1,5 l",,6.19,4.13,1500,L,€/L,,,2024-07-17T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/239DD1C8A0266CF207624C4D2BE653E1.jpg,,,17,5,,,
1965,5604260061556,210.0,PorSi,Bolachas waffers morango,Embalagem de 210g,1.08,5.14,0,kg,€/Kg,,1000 Artigos,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6F356F6CE8F384B8CEF6FD248AF1DFF4.jpg,,,17,5,,,
29834,8712100516467,480.0,Olá,Gelado cornetto mini clássico,Embalagem de 8 x 60 ml,3.89,8.1,480,L,€/L,,1000 Artigos,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/52C23093EFDFEFEAE4F1F6612BE1C6BE.jpg,,,17,5,,,
35766,8722700231974,525.0,Olá,Gelado Calippo morango,Embalagem de 5 x 105 ml,3.24,6.17,525,L,€/L,,1000 Artigos,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BF02D4ABF90BC6E3BFFC6B21E6122588.jpg,,,17,5,,,
41582,5601050036626,440.0,Danone,"Iogurte grego café,  4 x 110 g",,1.99,4.52,0,kg,€/Kg,,1000 Artigos,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AA81C6F13D10195F1596F127A0BC3ACE.jpg,,,17,5,,,
43011,5604260307210,300.0,PorSi,Comida húmida para cão de peru,Embalagem de 300 g,0.75,2.5,0,kg,€/Kg,,1000 Artigos,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0A4DC002663775585CA403A7A4E290B2.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A5C82BE522F15BBA14EEE2D9C8DA8265.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A5C82BE522F15BBA14EEE2D9C8DA8265.jpg,17,5,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A5C82BE522F15BBA14EEE2D9C8DA8265.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A5C82BE522F15BBA14EEE2D9C8DA8265.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A5C82BE522F15BBA14EEE2D9C8DA8265.jpg
44804,3023290048924,150.0,Lindahls,"Pudim Proteico chocolate,  150g",,1.49,9.93,0,kg,€/Kg,,,2024-07-17T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9B2FE0FACFAE4AC76078601AFA61FB63.jpg,,,17,5,,,
48093,5604260322459,85.0,PorSi Select,Comida húmida gato adulto c/ peixe,Embalagem de 85g,0.59,6.94,0,kg,€/Kg,,1000 Artigos,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4AA6ADFFF1475CB1AF3BAE3736401E0B.jpg,,,17,5,,,
10901,3228022000298,250.0,Président,Manteiga magra baixo teor sal,Embalagem de 250g,2.49,9.96,0,kg,€/Kg,,,2024-07-17T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/39754817E202726209A4761F94FED7A7.jpg,,,17,5,,,
