identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,images_5,pictogrammes_dateFin,pictogrammes_categorie,pictogrammes_valeur,pictogrammes_type,pictogrammes_loyaltyCardRewardType,pictogrammes_dateDebut,pictogrammes_maxDeclenchement,pictogrammes_remise,nro_paginas,page,images_6,images_7,avantages_dateFin,avantages_categorie
1709,5604055111060,6000.0,Fastio,"Água mineral sem gás, embalagem de 6 l",,1.49,0.25,6000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6EFB8FD4D0614752BB5925C1048B82B3.jpg,,,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,,,,,,,13,1,,,,
17244,5604260278985,270.0,PorSi,Iogurte Cremoso Sob Camada Pêssego 2X135G,,1.19,4.41,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8442F6F00AC2C6059F58275837D337CE.jpg,,,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,,,,,,,13,1,,,,
1847,5604260301683,540.0,PorSi,Feijão branco,Embalagem de 540g,0.85,1.57,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/65F3549F5DD8B5CB836B8FAB01DCCC43.jpg,,,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,,,,,,,13,1,,,,
1988,5604260063383,350.0,PorSi,Mini Tostas De Trigo 350G,,1.99,5.69,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0215D12BDD107E1A2372B3F823BE30C6.jpg,,,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,,,,,,,13,1,,,,
22307,5601019012647,390.0,Guloso,"Tomate em pedaços, embalagem de 390g",,1.45,3.72,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5ED4DE98BAC903A7106FCD013B7A79FA.jpg,,,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,,,,,,,13,1,,,,
24920,5604260281848,500.0,PorSi,Massa Laços 500G,,0.84,1.68,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C1693538ACC0B37B44EA7A19996490A3.jpg,,,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,,,,,,,13,1,,,,
32091,5601096260313,750.0,Aveleda,"Vinho verde loureiro branco, garrafa de 0.75 l",,3.49,4.65,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B625D8B51E31DE9FC56F1B65CF092E93.jpg,,,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,,,,,,,13,1,,,,
38970,5603722518805,,Castelões,"Queijo curado -30% gordura, 500 g",,6.29,6.29,1,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/72A7031F9A56666D6A179BF7A6411A71.jpg,,,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,,,,,,,13,1,,,,
41640,5604260301737,540.0,PorSi,Feijão encarnado em frasco,frasco de 540 g,0.85,1.57,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C91F959C8FD02C2055DD0A1A4950A458.jpg,,,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,,,,,,,13,1,,,,
47788,5604260325740,330.0,PorSi,6 Salsichas Frescas Chipolatas Com Ervas 330 G,,4.59,13.91,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5F51FE6C2AF9B50236E3907CACEE0AB3.jpg,,,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,,,,,,,13,1,,,,
