identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,images_5,avantages_dateFin,avantages_categorie,nro_paginas,page
54671,8711327587199,2000.0,Lipton,"Ice tea limao, 2 l",,2.39,1.2,2000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/50E0AE93B7B2DC79031DA2E6F9D15838.jpg,,,,,,2025-07-16T23:59:59.999999999+01:00,PROSPECTUS,13,4
54684,8711327611924,330.0,Magnum,"6 gelados mini chocolate e amêndoa, 330 ml",,3.99,12.09,330,L,€/L,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/779A2D41120BAD2364A0B6F639CCEACA.jpg,,,,,,2025-07-16T23:59:59.999999999+01:00,PROSPECTUS,13,4
54705,5600363850363,105.0,Alsa,"Gelatina em pó de frutos do bosque gelly-já, 105 g",,1.64,15.62,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A687D0F29B2A0FDF3BED508DCF3DB64D.jpg,,,,,,2025-07-16T23:59:59.999999999+01:00,PROSPECTUS,13,4
54763,8720182858290,245.0,Calvé,"Molho cocktail, 245g",,1.94,7.92,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/235F1A0F09B842825C47B4D30251D6FC.jpg,,,,,,2025-07-16T23:59:59.999999999+01:00,PROSPECTUS,13,4
54773,5601151964835,300.0,Compal,"Nectar clássico manga magdalena, 0.30l",,0.67,2.23,300,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/31C2CC6ECE3BD352F5F3884DDEA3DE5F.jpg,,,,,,2025-07-16T23:59:59.999999999+01:00,PROSPECTUS,13,4
54841,8720181536977,,Skip,"Detergente Máquina Roupa Líquido Ciclos Curtos Eficácia Express, 54D",,9.99,9.99,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/36CE943074EB52B9FEFCB8ABDDE587DE.jpg,,,,,,2025-07-16T23:59:59.999999999+01:00,PROSPECTUS,13,4
54870,8700216609616,450.0,Fairy,"Detergente Manual Loiça Maxi Poder Limão, 450ml",,2.99,6.64,450,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/81D44E99D044577B7484666755EA0354.jpg,,,,,,2025-07-16T23:59:59.999999999+01:00,PROSPECTUS,13,4
54984,5063270101575,14.0,Lipton,"Infusão Camomila Pyramid Saquetas, 20un.",,1.49,106.43,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DEBCA4E077AE2456EFBDA10F8C62C4AD.jpg,,,,,,2025-07-16T23:59:59.999999999+01:00,PROSPECTUS,13,4
55065,5063270109601,36.0,Lipton,"Chá Preto e Limão Pyramid Saquetas, 20un.",,1.99,55.28,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/88FE84CBF4C478572D64C65855CD53BA.jpg,,,,,,2025-07-16T23:59:59.999999999+01:00,PROSPECTUS,13,4
55188,8711327618428,825.0,Carte d'or,"Gelado Baunilha Pecan Les Desserts, 825ml",,5.99,7.26,825,L,€/L,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/08571CB2AC6E14D50DDB3E1CA2FA4D66.jpg,,,,,,2025-07-16T23:59:59.999999999+01:00,PROSPECTUS,13,4
55242,5601119405158,220.0,Nobre,"Fiambre da Perna Extra Fatias Finas Cuida-t+, 220g",,3.29,14.95,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F7D41F9A70217A16C33BBB081F6F9D27.jpg,,,,,,2025-07-16T23:59:59.999999999+01:00,PROSPECTUS,13,4
