identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,images_0,images_1,images_2,images_3,images_4,images_5,pictogrammes_libelleCategorie,avantages_dateFin,avantages_categorie,nro_paginas,page,images_6,pictogrammes_0
11734,5601356012812,750.0,Albarrada,Vinho doc alentejo tinto,Garrafa de 750 ml,2.79,3.72,750,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7378A881EE2FF61CA7868BF1CE324D1F.jpg,,,,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,8,,
11787,5601766300011,750.0,Alorna,Vinho branco tejo,Garrafa de 750 ml,3.29,4.39,750,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6E3BEF45F873DCFF6CEDE46DC9CF2C97.jpg,,,,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,8,,
11811,5601954000709,750.0,Miranda,Vinho verde branco,"Garrafa de 0,75 l",2.39,3.19,750,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FB65A678A00D2C85CD9AA69983F93D9F.jpg,,,,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,13,8,,
11868,5602235210114,750.0,Quinta do Cotto,Vinho tinto doc douro,Garrafa de 750 ml,6.59,8.79,750,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A35406BB835CFF8F4FD8C4E5A0C4273A.jpg,,,,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,8,,
11940,5603488000033,750.0,Santar,Vinho doc dão tinto,Garrafa de 0.75 l,5.99,7.99,750,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/419CDD9D3A2CFACABFCD558342C2A64E.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7A563D647C4A54F5ADF522EE09342D9C.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7A563D647C4A54F5ADF522EE09342D9C.jpg,,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,8,,
12104,5604260266487,750.0,Selecção de Enófilos,"Vinho doc loureiro, verde",Garrafa de 0.75 l,1.99,2.65,750,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/19A857732D592B058A0DF61CCCEC7A0D.jpg,,,,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,8,,
12213,5608527000593,750.0,Dom Campos,Vinho Tinto Regional Península de Setúbal,Garrafa de 0.75 l,2.99,3.99,750,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1A255C817780D1D2A5433549CCF19D64.jpg,,,,,,1000 Artigos,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,8,,
14252,8411800376455,1500.0,Trina,Refrigerante sem gás laranja,"Garrafa de 1,5 l",1.69,1.13,1500,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/18BB235772A8BDFC1B5D893CBE7A216F.jpg,,,,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,8,,
14360,8412500379555,75.0,La Piara,Patê sardinha,Embalagem de 80g,0.99,13.2,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D0F3D29CB367853556A90566875C7EFB.jpg,,,,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,8,,
14362,8412500910468,75.0,La Piara,Patê atum em escabeche,Embalagem de 80g,1.25,16.67,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6AFA2BCA9E7B7A16A729D8E36E064AC5.jpg,,,,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,8,,
