identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,avantages_dateFin,avantages_categorie,nro_paginas,page
22944,5604321012091,13.0,Cemporcento,"Infusão melhores digestões, embalagem de 10 unidades",,0.64,49.23,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/98E607019D9FBEE8E747286E3AEA4432.jpg,,,,,2024-12-11T23:59:59.999999999Z,PROSPECTUS,10,7
23786,5600390418734,750.0,Dharma,Vinho DOC Dão Tinto,"Garrafa de 0,75 L",3.59,4.79,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F23C88B1D1614FE8A4DAE881FDF16927.jpg,,,,,2024-12-11T23:59:59.999999999Z,PROSPECTUS,10,7
2411,5608543000171,10.0,Tetley,Infusão de tília,Embalagem de 10g,0.89,89.0,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/212E00FB6977EA04E0551648F9B4269D.jpg,,,,,2024-12-11T23:59:59.999999999Z,PROSPECTUS,10,7
24747,8410104124632,1000.0,Finish,"Detergente líquido máquina lavar loiça gel tudo em 1 regular, 1 l",,9.49,9.49,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BB255141086A3E25EB4E3D3BC40D205C.jpg,,,,,2024-12-11T23:59:59.999999999Z,PROSPECTUS,10,7
2481,7613032584504,250.0,Cerelac,"Papa infantil láctea banana laranja +6 meses, embalagem de 250g",,3.19,12.76,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8CB0086F6379609601EA9215ECF52500.jpg,,,,,2024-12-11T23:59:59.999999999Z,PROSPECTUS,10,7
2533,7613034146533,1500.0,Purina One,"Alimento seco para cão active, embalagem de 1,5kg",,7.49,4.99,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/001D1C5B4B6CE9EC855F940C44CC50A0.jpg,,,,,2024-12-11T23:59:59.999999999Z,PROSPECTUS,10,7
25582,5604321012176,13.0,Cemporcento,"Infusão nº12 tensão control, embalagem de 10 unidades",,0.64,49.23,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A0E4CA999F2083F2D1E3346499DAC0A5.jpg,,,,,2024-12-11T23:59:59.999999999Z,PROSPECTUS,10,7
25860,8001665011617,250.0,Rana,"Tortellini de boletus edulis, 250 g",,1.89,7.56,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/422A45E5CC8573D2B415E9622D413C48.jpg,,,,,2024-12-11T23:59:59.999999999Z,PROSPECTUS,10,7
26237,8016825968076,,Aquafresh,Escova de Dentes Extra Interdental Média,,2.45,2.45,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6DB68E4584CD7522EA3908B7A3587B09.jpg,,,,,2024-12-11T23:59:59.999999999Z,PROSPECTUS,10,7
26391,5604321025350,13.0,Cemporcento,"Infusão sem gordura, embalagem de 10 unidades",,0.74,56.92,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/20D02A5187A1B140701DAF2B1986582E.jpg,,,,,2024-12-11T23:59:59.999999999Z,PROSPECTUS,10,7
26925,7613036912488,200.0,After Eight,Chocolate Laranja,Embalagem de 200 g,3.99,19.95,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B3B97C4360341C28A16A879C96DC1BA0.jpg,,,,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,10,7
27104,8005125670680,,Clementoni,Sobe ou Desce?,1 un.,19.99,19.99,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/351FDF3ED2773398BE26E129A96B35B6.jpg,,,,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,10,7
27498,5604575004712,1500.0,Cabriz,Vinho DOC Dão Tinto,"Caixa: 2x0,75L",8.79,5.86,1500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/04AF4D8A718C9489D58B6F0127EEBB79.jpg,,,,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,10,7
27843,5600376210079,230.0,Pasta do Dia,"Massa para pizza, embalagem de 230g",,1.89,8.22,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F7A8F3C307AA99E0E70910624FFA9569.jpg,,,,,2024-12-11T23:59:59.999999999Z,PROSPECTUS,10,7
27895,3600542139977,400.0,Garnier,Champô Ultra Suave Riqueza D'Argão,Embalagem de 400 ml,3.79,9.48,400,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/77E999E8D164E33EBDE7F1A567689F18.jpg,,,,,2024-12-11T23:59:59.999999999Z,PROSPECTUS,10,7
27925,3600542140171,200.0,Garnier,"Creme de Pentear Ultra Suave Riqueza D'Argão, 200 ml",,3.49,17.45,200,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7E6C4524AE87EE5A10A33AF460603527.jpg,,,,,2024-12-11T23:59:59.999999999Z,PROSPECTUS,10,7
2852,0074299018060,,Hot Wheels,Pack 5 veículos sortidos,1 embalagem,9.99,9.99,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E66A785086F405D44E86ECEC556B312F.jpg,,,,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,10,7
28859,5000116123841,336.0,Capitão Iglo,"Douradinhos estaladiços, embalagem de 340g",,4.99,14.85,0,kg,€/Kg,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/49AFDC264463FC49315EE03B7B5FBE4C.jpg,,,,,2024-12-11T23:59:59.999999999Z,PROSPECTUS,10,7
29132,8710522322130,1000.0,Skip,"Tira Nódoas Brancos em Pó, 1 kg",,7.19,7.19,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2727E0244B6CF0C4CE031DB45E718DDA.jpg,,,,,2024-12-11T23:59:59.999999999Z,PROSPECTUS,10,7
