identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,avantages_dateFin,avantages_categorie,nro_paginas,page,images_3,images_4
53009,5775345205285,700.0,Sunquick,"Concentrado de manga, garrafa de 700 ml",,5.19,7.41,700,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/94829BEDF893EBD8EC5C2A98EB094FA3.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/47641B3B2ADBFBD16DD4A5737D06477E.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/47641B3B2ADBFBD16DD4A5737D06477E.jpg,2025-01-08T23:59:59.999999999Z,PROSPECTUS,7,6,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/47641B3B2ADBFBD16DD4A5737D06477E.jpg,
53014,7610400090957,100.0,Lindt,"Tablete chocolate preto com framboesa e avelã 70% cacau, 100g",,2.99,29.9,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CC7478070A6EC820E969DE0A3C2F1292.jpg,,,2025-01-08T23:59:59.999999999Z,PROSPECTUS,7,6,,
53015,7610400090933,100.0,Lindt,"Tablete chocolate preto com caramelo e flor de sal 70% cacau, 100g",,2.99,29.9,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/995EC7F597323CB1A8AB0645FD2AF11E.jpg,,,2025-01-08T23:59:59.999999999Z,PROSPECTUS,7,6,,
53016,3046920027281,100.0,Lindt,"Tablete chocolate preto com sal marinho e caramelo, 100g",,2.46,24.6,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/21980D5EAFABD088C9201193D84E96F4.jpg,,,2025-01-08T23:59:59.999999999Z,PROSPECTUS,7,6,,
53025,5010338404383,150.0,Blue Dragon,"Molho de Peixe, garrafa de 150 ml",,3.29,21.93,150,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/77D8043CCCFF8D81C4E589B83DFB4A28.jpg,,,2025-01-08T23:59:59.999999999Z,PROSPECTUS,7,6,,
53043,8445290661548,121.0,Maggi,"Noodles Frango, 121g",,1.69,13.97,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6A8DEFE6E187E1842BB60E224795B2F1.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/70503FA2F72E156F60153FB0F51DDBDC.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/70503FA2F72E156F60153FB0F51DDBDC.jpg,2025-01-08T23:59:59.999999999Z,PROSPECTUS,7,6,,
53074,8445290014177,2800.0,Purina One,"Ração para Gato Esterilizado Com Frango, 2.8 kg",,15.59,5.57,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AEEDAFDEC9309DF17C98D162A09F7DB9.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FF472FF76794D2946DC102AD40EF55A9.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FF472FF76794D2946DC102AD40EF55A9.jpg,2025-01-08T23:59:59.999999999Z,PROSPECTUS,7,6,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FF472FF76794D2946DC102AD40EF55A9.jpg,
53206,8711327583122,1000.0,Lipton,"Refrigerante sem gás pêssego, 1 litro",,1.75,1.75,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/ADA6EEC16B970A978EBFB12637252122.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/668C4732C4D0CB9C4F8870C88958EF03.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/668C4732C4D0CB9C4F8870C88958EF03.jpg,2025-01-08T23:59:59.999999999Z,PROSPECTUS,7,6,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/668C4732C4D0CB9C4F8870C88958EF03.jpg,
53207,8711327583092,1000.0,Lipton,"Refrigerante sem gás limão, 1 litro",,1.75,1.75,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4158B74E89B27BDB432B11C039181E14.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1DDDEA2D11A4948B9958398A432D1905.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1DDDEA2D11A4948B9958398A432D1905.jpg,2025-01-08T23:59:59.999999999Z,PROSPECTUS,7,6,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1DDDEA2D11A4948B9958398A432D1905.jpg,
53229,8445290832917,190.0,Nestlé,"Refeição arroz com frango, 190g",,1.74,9.16,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A86A2FFA11A081C4BF9A01BDE75A344F.jpg,,,2025-01-08T23:59:59.999999999Z,PROSPECTUS,7,6,,
53241,5601517360691,675.0,Paladin,"Ketchup, 675 ml",,2.59,3.84,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6FA3AB62C1278FAB505823E1D1E74C5B.jpg,,,2025-01-08T23:59:59.999999999Z,PROSPECTUS,7,6,,
53249,7613287867780,108.0,Nestlé,"Snack Barritas Chocolate Extrafino, 108g",,1.99,18.43,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/271BDD17237DF8DE504DB12DE566D3CF.jpg,,,2025-01-08T23:59:59.999999999Z,PROSPECTUS,7,6,,
53258,8445290554499,28.0,Nestlé,"Snack Para Bebé Morango e Banana, 28g",,1.29,46.07,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6892F063E24374E65ABAEF0E93A198F3.jpg,,,2025-01-08T23:59:59.999999999Z,PROSPECTUS,7,6,,
53269,8445290014207,2800.0,Purina One,"Ração para Gato Esterilizado Com Salmão, 2.8 kg",,15.59,5.57,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/73F43E5C853144BDD9B977AA60C331CD.jpg,,,2025-01-08T23:59:59.999999999Z,PROSPECTUS,7,6,,
53307,3600542289634,350.0,Garnier,"Champô Fructis Hair Food Aloé Vera, 350ml",,3.94,11.26,350,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1C2B5E560781BA69753977D465D5CDF7.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2A0EA665768C5A44921CD8C41571A661.jpg,,2025-01-08T23:59:59.999999999Z,PROSPECTUS,7,6,,
53622,3600542502443,200.0,Fructis,Condicionador Hair Drink Ananás,Embalagem de 200ml,6.99,34.95,200,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/575FD60B439F614758CE1F0ECAFB0BD9.jpg,,,2025-01-08T23:59:59.999999999Z,PROSPECTUS,7,6,,
53623,3600542502597,200.0,Fructis,Condicionador Hair Drink Banana,Embalagem de 200ml,6.99,34.95,200,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6AB26C2625E8C8D0E96854B2668C238E.jpg,,,2025-01-08T23:59:59.999999999Z,PROSPECTUS,7,6,,
53624,3600542502764,200.0,Fructis,Condicionador Hair Drink Papaia,Embalagem de 200ml,6.99,34.95,200,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5F6C510B2FEA680D996EA6C926BCD193.jpg,,,2025-01-08T23:59:59.999999999Z,PROSPECTUS,7,6,,
53805,5604260330614,90.0,Labell,Sabonete Cremoso 90G,Embalagem de 90g,0.64,7.11,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3E893F788E8405F7F634D88897F293E4.jpg,,,2025-01-08T23:59:59.999999999Z,PROSPECTUS,7,6,,
53806,5604260330621,90.0,Labell,Sab.Manteiga Karite 90G,Embalagem de 90g,0.64,7.11,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F288925CD6CE482A8B41C1FAE0FE36C9.jpg,,,2025-01-08T23:59:59.999999999Z,PROSPECTUS,7,6,,
54232,5601217137449,,Air Wick,"Ambientador automático delicias de verão, 250ml",,7.19,7.19,1,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/76741204EB9999469AAF3BFAD9F9498F.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0D0D0827BE4393B3FFCF8A70FBE857DD.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0D0D0827BE4393B3FFCF8A70FBE857DD.jpg,2025-01-08T23:59:59.999999999Z,PROSPECTUS,7,6,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0D0D0827BE4393B3FFCF8A70FBE857DD.jpg,
54234,8410104882679,38.0,Air Wick,"Ambientador Eléctrico Delícias de Verão Recarga, 2x19ml",,5.19,136.58,38,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B556ED2219FA1FF0B6987F8333E98AD5.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C8DDA33289997E47DBFE45FC9DFA0415.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C8DDA33289997E47DBFE45FC9DFA0415.jpg,2025-01-08T23:59:59.999999999Z,PROSPECTUS,7,6,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C8DDA33289997E47DBFE45FC9DFA0415.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C8DDA33289997E47DBFE45FC9DFA0415.jpg
54236,5601217138699,228.0,Air Wick,"Ambientador Active Fresh Comp Lavanda e Liro, 228ml",,7.99,35.04,228,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/53362394D4946B9BE93FFB7E8CF649BB.jpg,,,2025-01-08T23:59:59.999999999Z,PROSPECTUS,7,6,,
54257,3600542602167,400.0,Fructis,"Champô Adeus Danos, 400ml",,3.89,9.73,400,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3EF14447858F475907E4672CAE06F250.jpg,,,2025-01-08T23:59:59.999999999Z,PROSPECTUS,7,6,,
