identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,avantages_dateFin,avantages_categorie,nro_paginas,page,images_4
52787,5900020044129,80.0,Nestlé,"Barras de Cereais Fitness 0% Mel, 80g",,1.79,22.38,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/187D25227C186EA7E6F2778C2AF07CC6.jpg,,,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,11,
52797,8711327616332,825.0,Carte DOr,"Gelado brownie chocolate, 825 ml",,5.99,7.26,825,L,€/L,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/86933FC9C9D9EA2E9FB58FB8E0DC69F7.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/89D187521E159B499F9E24CFA10981D6.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/89D187521E159B499F9E24CFA10981D6.jpg,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,11,
52895,8720181380648,,Skip,"Detergente Cápsulas Máquina de Roupa Active Clean, 32 doses",,8.99,8.99,32,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FCDED2EC28760482A86038FF21792268.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AFDAFD11D9A3E06FF9612A9C5A925C33.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AFDAFD11D9A3E06FF9612A9C5A925C33.jpg,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,11,
52896,8720181380716,,Skip,"Detergente cápsulas máquina de roupa sensitive, 40 doses",,10.99,10.99,40,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/01BF011D05E9B7E65322FD154884E1C1.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FA591D23EC9054B7221A5C30B763EC5B.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FA591D23EC9054B7221A5C30B763EC5B.jpg,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,11,
52907,5411188138570,750.0,Alpro,"Yofu líquido morango e cereja, 750 ml",,2.84,3.79,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AEAE5C57DCF39D98782687AB36303B41.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/900E744ED16474441388F95F41F71847.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/900E744ED16474441388F95F41F71847.jpg,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,11,
52909,0000059095897,300.0,Dove,"Creme De Corpo Silky Petals, 300ml",,4.54,15.13,300,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/28BBC2FEAB36EAC4E7C77109EC4F41C9.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/31C090566CAF912A208BD5CB0F486D93.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/31C090566CAF912A208BD5CB0F486D93.jpg,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,11,
52910,0000059095460,50.0,Rexona men,"Desodorizante Roll On Quantum Dry 72H, 50ml",,3.99,79.8,50,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CBCE00322C5D4B241CFA7482643F6334.jpg,,,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,11,
52912,8720181284373,150.0,Dove Men,"Desodorizante spray men invisible dry 72h, 150 ml",,3.44,22.93,150,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FDCFC3BC57834736CFC2368F568FFF25.jpg,,,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,11,
52922,8720181297571,150.0,Axe,"Desodorizante spray acqua bergamot, 150 ml",,4.19,27.93,150,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D359EEF3877E868E88E7E83879637A7B.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3DB05D9E74793E64A0B2E418B1CA9BE2.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3DB05D9E74793E64A0B2E418B1CA9BE2.jpg,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,11,
52964,8445290299031,340.0,Purina One,"Comida Húmida para Cão Mini Delicate, 4 x 85g",,2.24,6.59,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/32231F745A365BE95601B28982095381.jpg,,,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,11,
